444; 107; 
444; 124; 
444.5; 18; 
444.5; 22; 
445; 48; 
445; 73; 
445.5; 65; 
445.5; 113; 
445.5; 120; 
446; 8; 
446; 24; 
446; 28; 
446; 39; 
446; 52; 
446; 77; 
446.5; 36; 
446.5; 61; 
446.5; 78; 
446.5; 102; 
446.5; 119; 
447; 2; 
447; 72; 
447; 83; 
447.5; 3; 
447.5; 13; 
447.5; 31; 
447.5; 32; 
447.5; 80; 
447.5; 91; 
448; 7; 
448; 29; 
448; 57; 
448; 62; 
448; 99; 
448; 122; 
448.5; 23; 
448.5; 40; 
448.5; 42; 
449; 6; 
449; 41; 
449.5; 1; 
449.5; 10; 
449.5; 21; 
449.5; 26; 
449.5; 82; 
449.5; 104; 
449.5; 108; 
449.5; 111; 
450; 30; 
450; 55; 
450; 70; 
450; 97; 
450; 116; 
450.5; 4; 
450.5; 33; 
450.5; 75; 
450.5; 89; 
450.5; 125; 
451; 12; 
451; 44; 
451; 51; 
451; 79; 
451; 118; 
451.5; 9; 
451.5; 58; 
451.5; 67; 
451.5; 94; 
451.5; 123; 
452; 2; 
452; 20; 
452; 25; 
452; 49; 
452; 86; 
452.5; 47; 
452.5; 74; 
452.5; 83; 
452.5; 107; 
452.5; 120; 
452.5; 124; 
453; 28; 
453; 43; 
453; 69; 
453; 85; 
453; 91; 
453.5; 17; 
453.5; 36; 
453.5; 77; 
454; 18; 
454; 59; 
454; 119; 
454.5; 13; 
454.5; 14; 
454.5; 23; 
454.5; 64; 
454.5; 106; 
454.5; 109; 
454.5; 113; 
455; 1; 
455; 6; 
455; 52; 
455; 66; 
455; 72; 
455.5; 22; 
455.5; 24; 
455.5; 122; 
456; 11; 
456; 57; 
456; 101; 
456; 104; 
456.5; 8; 
456.5; 16; 
456.5; 31; 
456.5; 39; 
456.5; 44; 
456.5; 50; 
456.5; 89; 
457; 9; 
457; 10; 
457; 32; 
457; 33; 
457; 48; 
457; 65; 
457; 75; 
457; 105; 
457.5; 12; 
457.5; 53; 
457.5; 58; 
457.5; 62; 
457.5; 70; 
457.5; 78; 
457.5; 80; 
457.5; 87; 
457.5; 108; 
458; 7; 
458; 21; 
458; 30; 
458; 42; 
458; 63; 
458; 71; 
458; 99; 
458; 102; 
458; 111; 
458.5; 79; 
458.5; 84; 
458.5; 88; 
458.5; 94; 
458.5; 118; 
459; 2; 
459; 38; 
459; 41; 
459; 81; 
459; 85; 
459.5; 3; 
459.5; 120; 
460; 5; 
460; 67; 
460; 82; 
460; 97; 
460; 121; 
460.5; 4; 
460.5; 20; 
460.5; 28; 
460.5; 29; 
460.5; 56; 
460.5; 83; 
460.5; 86; 
460.5; 91; 
460.5; 110; 
461; 25; 
461; 93; 
461; 124; 
461.5; 14; 
461.5; 17; 
461.5; 51; 
461.5; 59; 
461.5; 103; 
462; 13; 
462; 35; 
462; 50; 
462; 55; 
462; 92; 
462; 107; 
462; 119; 
462.5; 1; 
462.5; 9; 
462.5; 43; 
462.5; 60; 
462.5; 76; 
462.5; 100; 
463; 10; 
463; 58; 
463.5; 6; 
463.5; 23; 
463.5; 64; 
463.5; 66; 
463.5; 70; 
463.5; 87; 
463.5; 89; 
463.5; 101; 
463.5; 104; 
464; 11; 
464; 12; 
464; 16; 
464; 30; 
464; 36; 
464; 37; 
464; 47; 
464; 72; 
464; 105; 
464.5; 27; 
464.5; 33; 
464.5; 44; 
464.5; 71; 
464.5; 75; 
464.5; 84; 
465; 7; 
465; 18; 
465; 49; 
465; 62; 
465; 69; 
465; 90; 
465.5; 3; 
465.5; 22; 
465.5; 38; 
465.5; 53; 
465.5; 61; 
465.5; 63; 
465.5; 85; 
465.5; 88; 
465.5; 94; 
466; 4; 
466; 5; 
466; 21; 
466; 73; 
466; 81; 
466.5; 2; 
466.5; 45; 
466.5; 52; 
466.5; 79; 
466.5; 96; 
466.5; 102; 
467; 20; 
467; 46; 
467; 54; 
467; 78; 
467.5; 14; 
467.5; 39; 
467.5; 111; 
468; 50; 
468; 55; 
468; 77; 
468; 91; 
468; 121; 
468.5; 13; 
468.5; 26; 
468.5; 60; 
468.5; 92; 
468.5; 118; 
469; 1; 
469; 32; 
469; 34; 
469; 42; 
469; 56; 
469; 71; 
469; 76; 
469; 93; 
469; 98; 
469; 103; 
469.5; 9; 
469.5; 29; 
469.5; 58; 
469.5; 87; 
469.5; 97; 
469.5; 100; 
470; 10; 
470; 15; 
470; 70; 
470; 104; 
470; 110; 
470.5; 6; 
470.5; 31; 
470.5; 51; 
470.5; 101; 
470.5; 120; 
470.5; 123; 
471; 11; 
471; 27; 
471; 35; 
471; 47; 
471; 64; 
471; 72; 
471; 86; 
471; 90; 
471; 125; 
471.5; 3; 
471.5; 7; 
471.5; 12; 
471.5; 17; 
471.5; 48; 
471.5; 65; 
471.5; 105; 
471.5; 119; 
472; 4; 
472; 40; 
